Common Name,Category,Botanical Name,Land Type,Land Type Width (m),Water Requirement,Sunlight Requirement,Climate,Soil Type,Carbon Sequestration (CO2/year),Pollution Filtration,Maintenance,Height (m),Fruit ,Flower
Diosma,Shrub,Coleonema pulchellum,"Home Gardens, Botanical Gardens",0.5 - 1.0,Moderate Water,Full Sun,Sub-Tropical ,"Sandy Soils, Loamy Soils",1,1.7,Moderate,1.5,N/A,Yes
Echeveria,Shrub,Echeveria spp.,"Home Gardens, Community Gardens",0.3 - 0.5,Little Water,Full Sun,"Arid, Semi-Arid",Sandy Soils,0.2,0.94,Low,0.3,Not Edible,Yes
Eucalyptus,Shrub,Eucalyptus spp.,"Industrial Green Belts, Urban Forest",3.0 - 5.0,Little Water,Full Sun,"Tropical, Sub-Tropical",Loamy Soils,30,4.9,Low,50,Not Edible,Yes
Ficus,Shrub,Ficus benjamina,"Avenue Plantation, Urban Forest",2.0 - 4.0,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical",Loamy Soils,25,6.35,Low,30,Edible,Yes
Brown Gardenia,"Shrub, Small Tree",Gardenia jasminoides,"Home Gardens, Botanical Gardens",1.0 - 2.0,Moderate Water,"Semi-Shade, Full Sun",Sub-Tropical ,Loamy Soils,1.5,2.2,Moderate,2,Not Edible,Yes
Trumpet Honeysuckle,Shrub,Lonicera sempervirens,"Home Gardens, Public Parks",1.0 - 2.0,Moderate Water,Semi-Shade,Sub-Tropical,Loamy Soils,1,2.2,Moderate,6,Not Edible,Yes
Geronggang,Shrub,Cratoxylum arborescens,"Urban Forest, Industrial Green Belts",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,20,3.5,Moderate,40,N/A,Yes
Lavender,Shrub,Lavandula angustifolia,"Home Gardens, Hospital Gardens",0.5 - 1.0,Little Water,Full Sun  ,"Semi-Arid, Sub-Tropical","Sandy Soils, Loamy Soils",0.5,1.29,Low,1,Edible,Yes
Gold Flame Honeysuckle,Shrub,Lonicera × heckrottii,"Home Gardens, Public Parks",1.0 - 2.0,Moderate Water,Full Sun,Sub-Tropical ,Loamy Soils,1,2,Moderate,5,Not Edible,Yes
Melaleuca,Shrub,Melaleuca quinquenervia,"Industrial Green Belts, Riparian Buffer",2.0 - 3.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,15,3.2,Moderate,8,N/A,Yes
Tapeworm Plant,Shrub,Homalocladium platycladum,"Botanical Gardens, Home Gardens",1.0 - 1.5,Moderate Water,"Semi-Shade, Full Sun",Tropical,Loamy Soils,0.7,2.15,Moderate,2,Not Edible,Yes
Myoporum,Shrub,Myoporum parvifolium,"Industrial Green Belts, Medians & Dividers",1.0 - 2.0,Moderate Water,Full Sun,"Arid, Semi-Arid",Loamy Soils,0.5,2.3,Moderate,4,Not Edible,Yes
Indian Mahogany,Medium Tree,Swietenia mahagoni,"Avenue Plantation, Urban Forest",8.0 - 12.0,Lots of Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",50,5.3,Moderate,20,N/A,Yes
Gulmohar,Medium Tree,Delonix regia,"Avenue Plantation, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical","Loamy Soils, Clayey Soils",25,4.15,Moderate,12,N/A,Yes
Neem Tree,Medium Tree,Azadirachta indica,"Avenue Plantation, Urban Forest, School & College Campuses, Industrial Green Belts",8.0 - 12.0,Moderate Water,Full Sun,"Tropical, Semi-Arid","Sandy Soils, Loamy Soils, Clayey Soils",25,5.1,Low,20,Not Edible,Yes
Amla,Large Tree,Phyllanthus emblica,"Home Gardens, Urban Forest",10.0 - 15.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical",Loamy Soils,15,3.25,Moderate,8,Edible,Yes
Bodhi Tree,Large Tree,Ficus religiosa,"Public Parks, School & College Campuses",15.0 - 20.0,Moderate Water,"Full Sun, Semi-Shade",Tropical,"Loamy Soils, Clayey Soils",70,7.3,Low,25,Edible,Yes
Indian Banyan,Large Tree,Ficus benghalensis,"Avenue Plantation, Public Parks",15.0 - 30.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",90,8.95,Low,30,Edible,Yes
Deodar,Large Tree,Cedrus deodara,"Urban Forest, Public Parks",12.0 - 18.0,Moderate Water,Full Sun,Sub-Tropical ,Loamy Soils,35,3.9,Moderate,40,N/A,Yes
Asoka Tree,Medium Tree,Saraca asoca,"Avenue Plantation, Public Parks",7.0 - 9.0,Moderate Water,Full Sun,Tropical,Loamy Soils,20,3.2,Moderate,10,N/A,Yes
Curry Leaf Tree,"Shrub, Small Tree",Murraya koenigii,"Home Gardens, Community Gardens",2.0 - 3.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",5,3.3,Low,4,Edible,Yes
Sal,Large Tree,Shorea robusta,"Urban Forest, Riparian Buffer",12.0 - 20.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical",Loamy Soils,30,4.9,Low,35,N/A,Yes
Khair,Medium Tree,Senegalia catechu,"Urban Forest, Industrial Green Belts",8.0 - 10.0,Moderate Water,Full Sun,"Tropical, Semi-Arid",Loamy Soils,10,3.15,Low,15,N/A,Yes
Arjuna,Large Tree,Terminalia arjuna,"Urban Forest, Riparian Buffer",10.0 - 15.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical","Loamy Soils, Clayey Soils",25,4.1,Low,30,N/A,Yes
Tendu,Medium Tree,Diospyros melanoxylon,"Urban Forest, Industrial Green Belts",7.0 - 9.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical","Loamy Soils, Clayey Soils",15,2.7,Low,15,Edible,Yes
Turmeric,Shrub,Curcuma longa,"Community Gardens, Home Gardens",0.5 - 1.0,Lots of Water,"Semi-Shade, Full Sun","Tropical, Sub-Tropical ",Loamy Soils,0.3,1.55,Moderate,1,Edible,Yes
Pride of India,"Shrub, Small Tree",Lagerstroemia speciosa,"Avenue Plantation, Public Parks",2.0 - 3.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,20,3.25,Moderate,12,N/A,Yes
Babul,Medium Tree,Vachellia nilotica,"Industrial Green Belts, Landfills & Reclaimed Sites",8.0 - 10.0,Little Water ,Full Sun,"Arid, Semi-Arid","Sandy Soils, Loamy Soils",15,3,Low,10,N/A,Yes
Teak,Large Tree,Tectona grandis,"Urban Forest, Avenue Plantation",12.0 - 18.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical","Loamy Soils, Clayey Soils",60,6.25,Low,30,N/A,Yes
Mahua,Large Tree,Madhuca longifolia,"Urban Forest, Public Parks",10.0 - 15.0,Moderate Water,Full Sun,"Tropical, Semi-Arid","Loamy Soils, Clayey Soils",25,4.1,Low,20,Edible,Yes
Kikar,Medium Tree,Vachellia nilotica,"Industrial Green Belts, Avenue Plantation",8.0 - 10.0,Little Water,Full Sun,"Arid, Semi-Arid","Sandy Soils, Loamy Soils",15,3.3,Low,10,N/A,Yes
Indian Rosewood,Medium Tree,Dalbergia latifolia,"Urban Forest, Avenue Plantation",8.0 - 12.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",50,4.75,Low,25,N/A,Yes
Parijat,"Shrub, Small Tree",Nyctanthes arbor-tristis,"Home Gardens, Botanical Gardens",3.0 - 4.0,Moderate Water,Semi-Shade ,"Tropical, Sub-Tropical",Loamy Soils,10,2.95,Moderate,10,N/A,Yes
Oak,Large Tree,Quercus spp.,"Urban Forest, Public Parks",15.0 - 20.0,Moderate Water,Full Sun  ,Sub-Tropical ,Loamy Soils,25,5.5,Low,25,Edible,Yes
Asparagus,Shrub,Asparagus officinalis,"Home Gardens, Community Gardens",0.5 - 1.0,Moderate Water,Semi-Shade,Sub-Tropical ,Loamy Soils,0.5,1.3,Low,1.5,Edible,Yes
Yellow Wattle,Medium Tree,Acacia pycnantha,"Industrial Green Belts, Vacant Lands Converted to Green Spaces",7.0 - 10.0,Moderate Water,Full Sun,Tropical,"Sandy Soils, Loamy Soils",20,2.7,Moderate,8,N/A,Yes
Badminton Ball,Medium Tree,Parkia biglandulosa,"Botanical Gardens, Public Parks",1.0 - 2.0,Moderate Water,Full Sun  ,"Tropical, Sub-Tropical",Loamy Soils,30,1.95,Moderate,15,N/A,Yes
Silk Cotton Tree,Large Tree,Ceiba pentandra,"Public Parks, Urban Forest",12.0 - 18.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",40,5.85,Low,20,Not Edible,Yes
Sausage Tree,Medium Tree,Kigelia africana,"Public Parks, Avenue Plantation",8.0 - 10.0,Moderate Water,Full Sun,Tropical,Loamy Soils,35,4.5,Moderate,20,Not Edible,Yes
Pine,Large Tree,Pinus spp.,"Urban Forest, Public Parks",10.0 - 15.0,Moderate Water,Full Sun  ,Sub-Tropical ,Loamy Soils,20,3.3,Low,30,Edible,Yes
Bael Fruit,Small Tree,Aegle marmelos,"Home Gardens, School & College Campuses",4.0 - 6.0,Moderate Water,Full Sun,Sub-Tropical,Loamy Soils,10,2.85,Low,12,Edible,Yes
Kokum,"Small Tree, Medium Tree",Garcinia indica,"Home Gardens, Urban Forest",3.0 - 5.0,Moderate Water,Semi-Shade,Tropical,Loamy Soils,8,3.2,Moderate,10,Edible,Yes
Khejri,Medium Tree,Prosopis cineraria,"Industrial Green Belts, Vacant Lands Converted to Green Spaces",8.0 - 12.0,Little Water ,Full Sun,"Arid, Semi-Arid","Sandy Soils, Loamy Soils",15,2.7,Low,10,Edible,Yes
Indian Tulip,Small Tree,Thespesia populnea,"Avenue Plantation, Public Parks",4.0 - 5.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",12,3.95,Moderate,20,N/A,Yes
Weeping Fig,"Shrub, Medium Tree",Ficus benjamina,"Avenue Plantation, Office Complexes",4.0 - 6.0,Moderate Water,"Semi-Shade, Full Sun","Tropical, Sub-Tropical ",Loamy Soils,25,5.05,Moderate,25,Edible,Yes
Kusum Tree,Medium Tree,Schleichera oleosa,"Urban Forest, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,20,3.9,Moderate,20,Edible,Yes
Flame of the Forest,Medium Tree,Butea monosperma,"Public Parks, Avenue Plantation",8.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical",Loamy Soils,15,3.3,Low,15,N/A,Yes
Flame Tree,Medium Tree,Delonix regia,"Public Parks, Avenue Plantation",7.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,25,3.55,Moderate,20,N/A,Yes
Bahera,Large Tree,Terminalia bellirica,"Urban Forest, Public Parks",10.0 - 15.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,20,3.05,Low,18,Edible,Yes
Kamala ,Shrub,Mallotus philippensis,"Home Gardens, Botanical Gardens",1.0 - 2.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,10,2.7,Moderate,4,N/A,Yes
Siris,Medium Tree,Albizia lebbeck,"Avenue Plantation, Urban Forest",8.0 - 12.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",25,4.55,Moderate,20,N/A,Yes
Jackfruit,Medium Tree,Artocarpus heterophyllus,"Home Gardens, Public Parks",10.0 - 12.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",30,4.5,Low,15,Edible,Yes
Buttercup Tree,Small Tree,Cochlospermum religiosum,"Botanical Gardens, Home Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical,Loamy Soils,15,2.7,Moderate,12,N/A,Yes
Burans,Small Tree,Rhododendron arboreum,"Public Parks, Botanical Gardens",2.0 - 3.0,Moderate Water,Semi-Shade,Sub-Tropical ,Loamy Soils,10,2.75,Moderate,10,N/A,Yes
Bayu,Medium Tree,Pterospermum acerifolium,"Urban Forest, Public Parks",7.0 - 9.0,Moderate Water,Full Sun,Tropical,Loamy Soils,18,2.45,Moderate,25,N/A,Yes
Candle Nut Tree,Medium Tree,Aleurites moluccanus,"Urban Forest, Home Gardens",8.0 - 10.0,Moderate Water,Full Sun,Tropical,Loamy Soils,22,3.7,Low,15,Edible,Yes
Indian horse chestnut,Medium Tree,Aesculus indica,"Urban Forest, Public Parks",7.0 - 9.0,Moderate Water,Semi-Shade,Sub-Tropical ,Loamy Soils,20,3.95,Moderate,30,Not Edible,Yes
Malay Gale,Small Tree,Litsea elliptica,"Urban Forest, Riparian Buffer",3.0 - 4.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,15,2.3,Moderate,20,N/A,Yes
Himalayan Yew,Medium Tree,Taxus wallichiana,"Urban Forest, Botanical Gardens",7.0 - 10.0,Moderate Water,Full Shade,Sub-Tropical ,Loamy Soils,12,2.65,High,15,Not Edible,Yes
Himalayan White Pine,Large Tree,Pinus wallichiana,"Urban Forest, Public Parks",12.0 - 18.0,Moderate Water,Full Sun,Sub-Tropical ,Loamy Soils,18,3.3,Low,40,Edible,Yes
Rain Tree,"Medium Tree, Large Tree",Samanea saman,"Avenue Plantation, Public Parks",10.0 - 12.0,Moderate Water,Full Sun,Tropical,Loamy Soils,30,5.65,Low,25,N/A,Yes
Betel-nut Palm,Palm,Areca catechu,"Avenue Plantation, Home Gardens",4.0 - 6.0,Moderate Water,Full Sun,Tropical,Loamy Soils,10,2.4,Moderate,20,Edible,Yes
Oriental Arbor Vitae,Medium Tree,Thuja orientalis,"Public Parks, Botanical Gardens",7.0 - 9.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,8,2.4,Low,15,N/A,Yes
Ceylon rosewood,Medium Tree,Dalbergia latifolia,"Urban Forest, Avenue Plantation",8.0 - 12.0,Moderate Water,Full Sun,Tropical,Loamy Soils,50,3.95,Moderate,25,N/A,Yes
Phalsa,"Shrub, Small Tree",Grewia asiatica,"Home Gardens, Community Gardens",1.0 - 2.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,5,2.3,Low,6,Edible,Yes
Fern Tree,Medium Tree,Filicium decipiens,"Riparian Buffer, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,Tropical ,Loamy Soils,12,3.4,Moderate,12,N/A,Yes
Drumstick Tree,Small Tree,Moringa oleifera,"Home Gardens, Community Gardens",3.0 - 5.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",7,2.35,Low,10,Edible,Yes
Yellow Champaka,Medium Tree,Magnolia champaca,"Home Gardens, Botanical Gardens",8.0 - 10.0,Moderate Water,Full Sun,Tropical,Loamy Soils,20,2.95,Moderate,18,N/A,Yes
Sea Hibiscus,"Shrub, Small Tree",Hibiscus tiliaceus,"Riparian Buffer, Public Parks",2.0 - 3.0,Moderate Water,Full Sun,Tropical,Loamy Soils,15,3.1,Moderate,8,N/A,Yes
Custard Apple,"Shrub, Small Tree",Annona reticulata,"Home Gardens, Community Gardens",3.0 - 5.0,Moderate Water,Full Sun,Tropical,Loamy Soils,8,3,Moderate,7,Edible,Yes
White Mulberry,Small Tree,Morus alba,"Home Gardens, Public Parks",4.0 - 6.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,10,3.5,Moderate,12,Edible,Yes
Sealing Wax Palm,Palm,Cyrtostachys renda,"Avenue Plantation, Botanical Gardens",3.0 - 5.0,"Moderate Water, Lots of Water","Semi-Shade, Full Sun",Tropical,Loamy Soils,5,2.7,High,20,N/A,Yes
Red-leaved fig,Medium Tree,Ficus congesta,"Avenue Plantation, Office Complexes",8.0 - 12.0,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical ",Loamy Soils,20,4.1,Moderate,15,Edible,Yes
Triangle ficus,Shrub,Ficus triangularis,"Avenue Plantation, Office Complexes",1.0 - 2.0,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical ",Loamy Soils,15,3.35,Moderate,12,Edible,Yes
Nutmeg,Small Tree,Myristica fragrans,"Home Gardens, Botanical Gardens",3.0 - 4.0,Moderate Water,"Full Sun, Semi-Shade",Tropical,Loamy Soils,12,2.95,Moderate,18,Edible,Yes
Jamaica Pepper,Small Tree,Pimenta dioica,"Home Gardens, Botanical Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical ,Loamy Soils,10,2.25,Moderate,10,Edible,Yes
Pink Cassia,Medium Tree,Cassia javanica,"Avenue Plantation, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,Tropical,Loamy Soils,18,3.1,Moderate,10,N/A,Yes
Vomit fruit,Shrub,Morinda citrifolia,"Botanical Gardens, Vacant Lands Converted to Green Spaces",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,8,2.6,High,7,Not Edible,Yes
Carnival Bush,Shrub,Streptosolen jamesonii,"Home Gardens, Botanical Gardens",1.0 - 1.5,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical ",Loamy Soils,3,2.05,Moderate,3,Not Edible,Yes
Star Fruit,Small Tree,Averrhoa carambola,"Home Gardens, Community Gardens",3.0 - 5.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,7,2.85,Moderate,8,Edible,Yes
Cluster fig,Medium Tree,Ficus racemosa,"Urban Forest, Public Parks",8.0 - 12.0,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical ",Loamy Soils,25,4.9,Moderate,15,Edible,Yes
Fern tree,Medium Tree,Filicium decipiens,"Riparian Buffer, Public Parks",7.0 - 10.0,Moderate Water,Semi-Shade,Tropical,Loamy Soils,12,3.35,Moderate,12,N/A,Yes
Cannon Ball Tree,Large Tree,Couroupita guianensis,"Public Parks, Botanical Gardens",10.0 - 15.0,Moderate Water,Full Sun,Tropical,Loamy Soils,30,4.95,High,25,Not Edible,Yes
Mango,Large Tree,Mangifera indica,"Home Gardens, Public Parks",10.0 - 15.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,50,5.5,Moderate,20,Edible,Yes
Avocado,Small Tree,Persea americana,"Home Gardens, Community Gardens",4.0 - 6.0,Moderate Water,"Full Sun, Semi-Shade",Tropical,Loamy Soils,30,4.85,High,15,Edible,Yes
Coconut,Palm,Cocos nucifera,"Home Gardens, Avenue Plantation",5.0 - 8.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils",20,2.85,Moderate,25,Edible,Yes
Indian Cork Tree,Medium Tree,Millingtonia hortensis,"Avenue Plantation, Public Parks",8.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,15,3.9,Moderate,20,Not Edible,Yes
Coral Tree,Medium Tree,Erythrina variegata,"Public Parks, Avenue Plantation",7.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,25,4.5,Moderate,10,Not Edible,Yes
Indian Beech,Medium Tree,Pongamia pinnata,"Urban Forest, Landfills & Reclaimed Sites",8.0 - 12.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",20,4.1,Moderate,18,Edible,Yes
